query,answer,temperature,top_k,embedding_model,llm_model,context_count,metrics/Accuracy@K,metrics/Recall@K,metrics/MRR,timing/retrieval_ms,timing/generation_ms,timing/total_ms
What is the acceptance rate?,Approximately 71%.,0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.3333333333333333,1.0,16.9522762298584,719.9656963348389,736.9179725646973
How can I apply for admission?,Contact ISO to discuss. Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc,0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.1111111111111111,1.0,10.974645614624023,342.56815910339355,353.5428047180176
What are the tuition fees?,Information not available in knowledge base.,0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.037037037037037035,1.0,13.963699340820312,282.87220001220703,296.83589935302734
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.08333333333333333,1.0,11.34181022644043,305.18317222595215,316.5249824523926
What is the campus location?,Information not available in knowledge base.,0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.07142857142857142,1.0,17.316102981567383,280.4980278015137,297.81413078308105
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT obligatory.",0.2,1,all-MiniLM-L6-v2,llama-3.1-8b-instant,1,1.0,0.045454545454545456,1.0,22.085905075073242,321.14648818969727,343.2323932647705
What is the acceptance rate?,Approximately 71%,0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.6666666666666666,1.0,27.378082275390625,354.37965393066406,381.7577362060547
How can I apply for admission?,Contact ISO to discuss. Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc,0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.3333333333333333,0.1111111111111111,1.0,11.966466903686523,349.959135055542,361.9256019592285
What are the tuition fees?,Information not available in knowledge base.,0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,0.6666666666666666,0.07407407407407407,1.0,15.958070755004883,291.7594909667969,307.71756172180176
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.25,1.0,11.966705322265625,284.2075824737549,296.1742877960205
What is the campus location?,Information not available in knowledge base.,0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.21428571428571427,1.0,43.0600643157959,284.96503829956055,328.02510261535645
What are English language requirements?,"ELAN1, ELAN2, EACAW, ECULT are obligatory.",0.2,3,all-MiniLM-L6-v2,llama-3.1-8b-instant,3,1.0,0.13636363636363635,1.0,25.861740112304688,312.9856586456299,338.84739875793457
What is the acceptance rate?,Approximately 71%.,0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.6666666666666666,1.0,13.96036148071289,390.6538486480713,404.6142101287842
How can I apply for admission?,"Check ISO for policies. 
Sources: https://www.students.pw.edu.pl/How-to-Apply/Admission-to-M.Sc",0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.4,0.2222222222222222,1.0,14.262914657592773,396.6038227081299,410.86673736572266
What are the tuition fees?,Information not available in knowledge base.,0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,0.8,0.14814814814814814,1.0,0.0,417.02961921691895,417.02961921691895
Do you offer scholarships?,"Yes, Rector's Scholarship and others.",0.2,5,all-MiniLM-L6-v2,llama-3.1-8b-instant,5,1.0,0.4166666666666667,1.0,16.649484634399414,381.7765712738037,398.4260559082031
